Title,Company,City,State,Description,Skills,Experience,Job URL
Entry- Level IT Support / IT Graduate,Teekay Shipping,Sydney CBD,NSW,"Provide first-line IT support for hardware, software, network
Set up IT equipment, assist with software installations and updates
Recent IT graduate with Windows, Microsoft 365, troubleshooting skills","IT Support, SSIS",0,https://au.jora.com/job/Entry-Level-IT-3eec5b08b4c4384457281ce7c7ee3976
IT Support & Website Content Administrator,Holidays of Australia,Adelaide,SA,"Hybrid role combining IT support and website content administration
Requires basic technical knowledge, communication, and time management skills
Opportunity to work closely with the business and grow with company",IT Support,0,https://au.jora.com/job/Content-Administrator-124e359d920a2b523a9c110542c92d16
IT Traineeship - Call Centre Support,WorkVentures,Alexandria,NSW,"Entry-level IT helpdesk support role with on-the-job training
Assist customers with troubleshooting, desktop support, and IT projects
Opportunity to study Certificate III in IT while working","Desktop Support, SSIS",0,https://au.jora.com/job/IT-Traineeship-Call-c4629faca8d3e7a3517f7596ceecd595
It Support Technician,Tropix Tech,Parramatta Park,QLD,"Provide basic IT support for Windows, servers, and printers
Work with Microsoft 365, SharePoint, and Azure AD
Ideal candidate has strong Microsoft knowledge and is willing to learn","Azure, IT Support",0,https://au.jora.com/job/It-Support-Technician-f77f4a249926deb711ef200f2e6dd05a
Entry Level/Support Desk Help/ CRM,Kirra Services,Australia,,Entry Level/Support Desk Help/ CRM,,0,https://au.jora.com/job/Entry-Level-Support-f322c7ca6cbb799bc4c5b44b2f13d8ee
Entry-level IT Service Technician,Centorrino Technologies,Coburg,VIC,"Provide Level 1 support via phone, email, and remote tools
Troubleshoot desktop, server, and networking issues; document solutions
Passion for IT, Windows, Microsoft 365, basic networking; customer service",Networking,0,https://au.jora.com/job/Entry-level-IT-100e8a29cba82800a747ee3ac004e757
IT Helpdesk Support (Part-Time),Nutrimetics,Gladesville,NSW,"Provide Level 1 & 2 IT support for hardware/software
Resolve technical issues, manage helpdesk tickets, and assist users
Experience with Windows/macOS, Microsoft Office, and Active Directory","Active Directory, IT Support, SSIS",0,https://au.jora.com/job/IT-Helpdesk-Support-0b5f7bbb1cbdd97a6bfde79e8c5ad272
Helpdesk Specialist,Hays Recruitment,Melbourne,VIC,"Provide 1st level IT support remotely and onsite
Maintain client relationships and perform account administration
Experience with Windows, macOS, Active Directory, Exchange, Office 365","Active Directory, IT Support",0,https://au.jora.com/job/Helpdesk-Specialist-81094cb990fff86a970546f1ff158874
Level 1 Engineer,Brain Box,Brisbane,QLD,"Provide first-level technical support via phone, email, and on-site
Troubleshoot and resolve hardware, software, and network issues
Collaborate with team to escalate and resolve complex technical problems",Scala,0,https://au.jora.com/job/Level-1-Engineer-60b6191942f7bd5375db08ff2744e2d9
Microsoft Traineeship Program - Cert IV IT,MEGT,Fyshwick,ACT,"Provide first-level technical support to clients over the phone
24-month full-time paid traineeship with Certificate IV in IT
Gain globally recognised Microsoft certifications and practical work experience",,0,https://au.jora.com/job/Microsoft-Traineeship-Program-84d51d7157556ebab7e7ac62b0b772ea
