Title,Company,City,State,Description,Skills,Experience,Job URL,skill_count,job_level,desc_length,Experience_log
IT Support Officer (Level 1/ Graduate/ Entry Level),Acworth Recruitment,Inglewood,WA,"Recent IT graduate with strong customer service experience preferred
Hands-on support for servers, networks, O365, Azure, and more
Opportunity for professional development and industry certifications provided",Azure,5.0,https://au.jora.com/job/IT-Support-Officer-6c8200b5f0191196102ec503c4b64baf,1,entry,210,1.791759469228055
Help Desk Support,BGP Group,Sydney,NSW,"More than 4 years of relevant work experience required
Level 3 Help Desk Support with customer service focus
Engage with staff, meet SLA, provide IT help desk services",Help Desk,4.0,https://au.jora.com/job/Help-Desk-Support-36972494c6345c91b06de093c38f3466,1,unknown,169,1.6094379124341003
Junior System Admin,Hays Recruitment,Sydney CBD,NSW,"Assist in IT system installation, maintenance, and troubleshooting
Collaborate with IT teams on projects and upgrades
Degree in Computer Science, basic OS and networking knowledge","Networking, SSIS",5.0,https://au.jora.com/job/Junior-System-Admin-8891d8f0a00707f44873b12ae347feef,2,entry,181,1.791759469228055
IT Helpdesk Technician,Sol1 Pty Ltd,Bella Vista,NSW,"Provide IT support for SME customers at Bella Vista office
Opportunity for progression into automation, monitoring, or engineering roles
Required skills: Windows desktop support, basic networking, customer service","Desktop Support, IT Support, Networking",5.0,https://au.jora.com/job/IT-Helpdesk-Technician-22151bd43c92794db4b272c679a370a5,3,unknown,215,1.791759469228055
IT Support Agent,CSP Lighthouse Pty Ltd,Bedford Park,SA,"Requires Australian Citizenship and Baseline Security Clearance
Provide on-site IT support for clients, staff, and Microsoft 365
Opportunities for growth in security frameworks, cloud technologies, leadership",IT Support,5.0,https://au.jora.com/job/Support-Agent-03d183222654a7b2fa527b99c8275c98,1,unknown,210,1.791759469228055
Information Technology Traineeship (EOI),Apprenticeship Careers Australia,Melbourne,VIC,"Assist with IT support, troubleshooting, and system setup
Opportunity to gain Certificate III in Information Technology
Supportive work environment with mentorship and career development","IT Support, SSIS",5.0,https://au.jora.com/job/Information-Technology-Traineeship-7b07ffbd03d27456757f8ab80e18c0a0,2,unknown,188,1.791759469228055
Level 1 and 2 Service Desk Support Officers - Multiple Positions,Atlantic Digital,Fortitude Valley,QLD,"Provide helpdesk services in fast-paced, agile environment
Troubleshoot core infrastructure applications and perform on-site work
Seeking self-motivated individuals with IT support experience and certifications","Agile, IT Support",5.0,https://au.jora.com/job/Service-Desk-Support-Officer-a0d2abd61a0ce8358dbdd187a695b4bf,2,unknown,212,1.791759469228055
IT Support Assistant,MiCARE,Carrum Downs,VIC,"Assist users with IT systems and software support
Collaborate with Manager ICT Services and service areas
Basic technical knowledge, O365, Windows, Mac OS, networking","Networking, SSIS",5.0,https://au.jora.com/job/IT-Support-Assistant-d52fb293063848599f86e178c87cd32c,2,unknown,168,1.791759469228055
Information Technology Traineeship,Zeal Futures,Wagga Wagga,NSW,"Complete Certificate IV IT qualification with formal training
Gain practical on-the-job experience in various ICT roles
Opportunity to work with industry-leading employers and earn income",,5.0,https://au.jora.com/job/Information-Technology-Traineeship-8da09bd84a7ba653258cfbbcdc03dd98,0,unknown,189,1.791759469228055
Level 1 - IT Helpdesk Technician,SOS Technology Group,Thornton,NSW,"Perform system run-ups, helpdesk support, on-site service activities
Certificate III/Bachelor's in IT, customer service skills, Windows support
Networking knowledge, vendor training, teamwork, growth opportunities",Networking,5.0,https://au.jora.com/job/Level-1-IT-284d3c4b989c5028021fff2a87ad9f88,1,unknown,215,1.791759469228055
Level 1/2 - Information Technology Help Desk Support Technician,Xenex Systems,Osborne Park,WA,"Provide remote and onsite support for IT environments
Manage IT Helpdesk operations and customer service levels
Technical skills in Windows, Microsoft products, networking, and VoIP",Networking,5.0,https://au.jora.com/job/Support-Technician-398dbc3f32e3f64596bf6f7a479026e1,1,unknown,183,1.791759469228055
Information Technology Officer - Junior,Shire of Dardanup,Eaton,WA,"Provide help desk support via phone, email, and in person
Assist in setup, maintenance, and troubleshooting of IT systems
Collaborate with IT team on projects and service improvements","Help Desk, SSIS",5.0,https://au.jora.com/job/Information-Technology-Officer-18f8567890dde895a37b5910496ab10a,2,entry,185,1.791759469228055
Entry- Level IT Support / IT Graduate,Teekay Shipping,Sydney CBD,NSW,"Provide first-line IT support for hardware, software, network
Set up IT equipment, assist with software installations and updates
Recent IT graduate with Windows, Microsoft 365, troubleshooting skills","IT Support, SSIS",5.0,https://au.jora.com/job/Entry-Level-IT-3eec5b08b4c4384457281ce7c7ee3976,2,entry,202,1.791759469228055
Level 1 IT Helpdesk Support Technician - Remote Work,Plex IT,Melbourne,VIC,"Provide IT support for clients on various devices/platforms
Knowledge in desktop support, Microsoft Office, Windows Server, Office 365
Excellent communication, time management, and customer service skills required","Desktop Support, Excel, IT Support, Windows Server",5.0,https://au.jora.com/job/Helpdesk-Support-Technician-c3895ab7b703aa1377fd3638e547bd4b,4,unknown,215,1.791759469228055
12 Month Rolling Contract - L1 IT Support,Robert Half,South Brisbane,QLD,"Provide IT support to end users in person and remotely
Troubleshoot and resolve issues with AD, Azure AD, Office 365
Experience in Level 1/2 Help Desk Support role required","Azure, Help Desk, IT Support",5.0,https://au.jora.com/job/12-Month-Rolling-5257f2920f95a20fafc8bba9b83d2931,3,unknown,174,1.791759469228055
INFORMATION TECHNOLOGY TRAINEESHIP,CVGT,Bendigo,VIC,"Gain hands-on experience in IT services and solutions
Pursue Certificate III in Information Technology with ongoing mentoring
Provide IT support including troubleshooting, software installation.","Go, IT Support",5.0,https://au.jora.com/job/INFORMATION-TECHNOLOGY-TRAINEESHIP-49a3ac8736bc06fba0ec11783a7043bf,2,unknown,196,1.791759469228055
IT Traineeship - Call Centre Support,WorkVentures,Alexandria,NSW,"Entry-level IT helpdesk support role with on-the-job training
Assist customers with troubleshooting, desktop support, and IT projects
Opportunity to study Certificate III in IT while working","Desktop Support, SSIS",5.0,https://au.jora.com/job/IT-Traineeship-Call-c4629faca8d3e7a3517f7596ceecd595,2,unknown,192,1.791759469228055
IT Support / Help Desk,Racing NSW,Sydney CBD,NSW,"Provide first and second level support for desktop and system issues
Three years' experience in IT support and IT qualification required
Knowledge of Microsoft Office 365, Active Directory, and network troubleshooting","Active Directory, IT Support",5.0,https://au.jora.com/job/IT-Support-Help-ec9b7af0d711cc1f3c2c97879dc1f241,2,unknown,219,1.791759469228055
Service Desk Consultant,BAE Systems Digital Intelligence,Canberra,ACT,"Manage Level 2/3 customer issues and requests, coordinate engineering activities
Follow ITIL principles, provide accurate service performance reporting
Desired ITIL qualification, experience in managing customer services",ITIL,5.0,https://au.jora.com/job/Service-Desk-Consultant-d6f4f994b82db14d36d91a11a5350106,1,unknown,222,1.791759469228055
Service Desk Consultant,BAE Systems,Canberra,ACT,"Deliver prompt solutions for customer requests via various channels
Manage Level 2/3 customer issues, ITIL principles, and reporting
Desired skills: ITIL qualification, Unix Servers, Oracle, CISCO, VOIP","ITIL, Oracle",5.0,https://au.jora.com/job/Service-Desk-Consultant-16cc5777559b3ff25948a993e1d69eec,2,unknown,204,1.791759469228055
